id	text	HS	TR	AG
21949	Perra, pero tranquila, me gusta.	1	1	1
21186	Hola soy leo y tu AHHH sí, eres Pendejo porque MARCHES REGRESE CUANDO TE ESTÁS ENTENDIENDO hijo de tu puta madre	0	0	0
23376	Hay espacio para todos en todas partes. Conductores de taxis, ingenieros, periodistas ... y refugiados. Pero en cumplimiento de la Ley, que por el momento no se cumple. Y lo que es peor, los crímenes se inventarán para hacer un abrigo un abrigo. #Overallsone! https://t.co/yGW51b0YgZ	0	0	0
24419	Muy imbécil es insultar a otro para compartir su sexualidad, además, la perra es un insulto que ha sido distorsionado con el tiempo, originalmente referido a aquellos que son inteligentes. En definitiva, ni insultar los vales. Un besito .	0	0	0
20479	"Vamos a llegar a ser como Venezuela", dijeron, ahora incluso en el semáforo hablan chamo ... Quiero ver al Sr. Duque y los ministerios y la cancillería que van a hacer tanto a los chamozolanes inmigrantes.	1	0	0
22916	Más de 17 denuncias de acoso sexual, incluida la violación de su propia esposa y una relación promiscua con su hija Ivanka. La Universidad y la Fundación Trump en Nueva York están cerradas por fraude y lavado de dinero. Siete quiebras, este delincuente lo tiene todo.	0	0	0
22103	Cállate viejo Culiao. Hijo de puta. Las mil perras que te dieron a luz ... cómplice de asesinatos y torturas a compatriotas. Morir a la vez ... maldita sea.	0	0	0
22321	¡Ni tú eres perra ni yo soy un gato!	0	0	0
20257	Me gustó un video https://t.co/s4HGvbL6SV Francisco Tárrega - Capricho árabe	0	0	0
21368	Espero que lleves vestidos y tacones para que puedas ser feliz como mereces perra	1	1	1
21654	Tienes que ser un verdadero imbécil para hacer 'bromas' con un asunto tan serio como el acoso callejero, y por encima de todo, pensarás en algo gracioso.	0	0	0
20291	El juez reafirma la orden de que Trump reactive el programa DACA para jóvenes indocumentados. # AgendaPública https://t.co/YIvr3P9jMq https://t.co/xKCrNdyxgh	0	0	0
20068	- Final Champions League - Libertadores y Sudaca - Gira, gira y gira - Wimbledon - Super Bowl https://t.co/lUR7OjtsiV	0	0	0
20349	Usted es el malagua barato celulitis https://t.co/tjDXyEKLzu	1	1	1
24219	Mi novia es la mujer más bella que he visto en mi vida perra.	0	0	0
22995	El nivel 4 reforzado es igual a recoger 400 inmigrantes cada día. https://t.co/RVYHv6mL06	1	0	0
23293	Redomicilie su empresa offshore en Emiratos Árabes Unidos. https://t.co/gJYLHarqZA	0	0	0
